2022-11-29 10:38:25.183 |  generate_data   | 0183 |   DEBUG   | index:469 datalength: 0
2022-11-29 10:38:25.183 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:26.219 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:26, duration: 30
2022-11-29 10:38:26.220 |  generate_data   | 0183 |   DEBUG   | index:468 datalength: 0
2022-11-29 10:38:26.221 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:27.253 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:27, duration: 30
2022-11-29 10:38:27.253 |  generate_data   | 0183 |   DEBUG   | index:467 datalength: 0
2022-11-29 10:38:27.254 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:28.277 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:28, duration: 30
2022-11-29 10:38:28.277 |  generate_data   | 0183 |   DEBUG   | index:466 datalength: 0
2022-11-29 10:38:28.278 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:29.071 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:29, duration: 180
2022-11-29 10:38:30.127 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:30, duration: 180
2022-11-29 10:38:31.149 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:31, duration: 180
2022-11-29 10:38:31.150 |  generate_data   | 0183 |   DEBUG   | index:347 datalength: 0
2022-11-29 10:38:31.150 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:32.180 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:32, duration: 180
2022-11-29 10:38:33.208 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:33, duration: 180
2022-11-29 10:38:34.233 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:34, duration: 180
2022-11-29 10:38:35.254 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:35, duration: 180
2022-11-29 10:38:36.279 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:36, duration: 180
2022-11-29 10:38:37.318 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:37, duration: 180
2022-11-29 10:38:38.351 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:38, duration: 180
2022-11-29 10:38:39.384 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:39, duration: 180
2022-11-29 10:38:40.415 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:40, duration: 180
2022-11-29 10:38:41.446 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:41, duration: 180
2022-11-29 10:38:42.470 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:42, duration: 180
2022-11-29 10:38:43.503 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:43, duration: 180
2022-11-29 10:38:44.533 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:44, duration: 180
2022-11-29 10:38:45.566 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:45, duration: 180
2022-11-29 10:38:45.566 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:38:45.566 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:46.598 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:46, duration: 180
2022-11-29 10:38:46.598 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:38:46.599 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:47.629 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:47, duration: 180
2022-11-29 10:38:47.630 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:38:47.630 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:48.655 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:48, duration: 180
2022-11-29 10:38:48.655 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:38:48.655 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:48.953 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:48, duration: 180
2022-11-29 10:38:48.954 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:38:48.954 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:49.081 |  query_database  | 0116 |   DEBUG   | @@query_database api called
2022-11-29 10:38:50.820 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:50, duration: 60
2022-11-29 10:38:50.820 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:38:50.820 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:51.283 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:51, duration: 30
2022-11-29 10:38:51.283 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
